model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,multifieldqa_en,5,f1,6599,19528,8.42,0.3644,0.177,0.9995,0.0277,0.571429,1.0,0.571429,35.3717,0.571429,5.382,0.571429,3.412,0.571429,6.4443,0.571429,6.4443,C0,0.571429,C1,C1,C1
llama31_8b,multifieldqa_en,6,f1,6288,20826,8.3493,0.3338,0.1625,0.9996,0.0181,0.642857,1.0,0.666667,33.7047,0.642857,5.4077,0.529412,3.412,0.529412,6.1406,0.529412,6.1406,C1,0.666667,C1,C1,C1
llama31_8b,multifieldqa_en,7,f1,3684,6000,7.881,0.3659,0.1707,,0.0018,1.0,1.0,1.0,19.7468,1.0,5.3278,1.0,3.412,1.0,3.5977,1.0,3.5977,C0,1.0,C1,C1,C1
llama31_8b,multifieldqa_en,8,f1,4463,21852,8.6743,0.3954,0.3079,0.9996,0.0053,1.0,1.0,0.8,23.9224,1.0,5.3731,0.8,3.412,0.8,4.3584,0.8,4.3584,C0,1.0,C2,C2,C2
llama31_8b,multifieldqa_en,9,f1,3178,15563,8.257,0.3579,0.2618,0.9994,0.0068,0.0,1.0,0.0,17.0346,0.0,5.3312,0.0,3.412,0.0,3.1035,0.0,3.1035,C0,0.0,C1,C1,C1
llama31_8b,multifieldqa_en,10,f1,2108,8995,8.0773,0.4297,0.3283,0.999,0.0073,0.689655,1.0,0.382979,11.2992,0.689655,5.2995,0.689655,3.412,0.689655,2.0586,0.689655,2.0586,C0,0.689655,C2,C2,C2
llama31_8b,multifieldqa_en,11,f1,6202,31240,8.584,0.3354,0.2127,0.9997,0.0046,0.4,1.0,0.4,33.2437,0.4,5.3819,0.4,3.412,0.4,6.0566,0.4,6.0566,C0,0.4,C1,C1,C1
llama31_8b,multifieldqa_en,12,f1,4972,21982,8.6984,0.3497,0.2548,0.9996,0.0022,0.133333,1.0,0.24,26.6507,0.651163,5.3758,0.133333,3.412,0.1875,4.8555,0.121212,4.8555,C2,0.651163,C1,C1,C1
llama31_8b,multifieldqa_en,13,f1,14997,56541,8.4065,0.2042,0.0928,0.9998,0.0092,1.0,1.0,1.0,40.2012,1.0,5.4017,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama31_8b,multifieldqa_en,14,f1,3785,14403,9.4641,0.4404,0.3868,0.9994,0.0044,0.0,1.0,0.0,20.2882,0.0,5.3664,0.0,3.412,0.0,3.6963,0.0,3.6963,C0,0.0,C1,C1,C1
llama31_8b,multifieldqa_en,15,f1,9461,42138,9.0572,0.3951,0.2222,0.9998,0.0058,0.277778,1.0,0.333333,40.2012,0.344828,5.4085,0.277778,3.412,0.322581,7.3242,0.333333,7.3242,C2,0.344828,C1,C1,C1
llama31_8b,multifieldqa_en,16,f1,7656,33274,9.3051,0.4012,0.2701,0.9997,0.005,0.0,1.0,0.1,40.2012,0.0,5.4275,0.0,3.412,0.0,7.3242,0.0,7.3242,C1,0.1,C1,C1,C1
llama31_8b,multifieldqa_en,17,f1,3704,13757,7.6487,0.2999,0.1712,0.9993,0.0118,0.0,1.0,0.0,19.854,0.0,5.3535,0.0,3.412,0.0,3.6172,0.0,3.6172,C0,0.0,C1,C1,C1
llama31_8b,multifieldqa_en,18,f1,5300,22974,8.4297,0.3478,0.2072,0.9996,0.0047,0.222222,1.0,0.444444,28.4088,0.428571,5.3929,0.222222,3.412,0.375,5.1758,0.428571,5.1758,C1,0.444444,C1,C1,C1
llama31_8b,multifieldqa_en,19,f1,11048,44441,8.623,0.3246,0.1461,0.9998,0.0038,0.216216,1.0,0.222222,40.2012,0.216216,5.4151,0.222222,3.412,0.27027,7.3242,0.27027,7.3242,C4,0.27027,C1,C1,C1
llama31_8b,narrativeqa,0,f1,31373,127703,9.2856,0.3891,0.1576,0.9999,0.0184,0.47619,1.0,0.315789,40.2012,0.5,5.4074,0.47619,3.412,0.631579,7.3242,0.631579,7.3242,C4,0.631579,C4,C4,C4
llama31_8b,narrativeqa,1,f1,36248,157714,9.5496,0.3887,0.1602,0.9999,0.0198,0.117647,1.0,0.0,40.2012,0.117647,5.401,0.117647,3.412,0.117647,7.3242,0.111111,7.3242,C0,0.117647,C4,C4,C4
llama31_8b,narrativeqa,2,f1,13507,56169,9.049,0.4016,0.2137,0.9998,0.0192,0.117647,1.0,0.117647,40.2012,0.117647,5.4236,0.117647,3.412,0.117647,7.3242,0.117647,7.3242,C0,0.117647,C1,C1,C1
llama31_8b,narrativeqa,3,f1,16516,62691,9.2044,0.424,0.2147,0.9998,0.0201,0.133333,1.0,0.117647,40.2012,0.5,5.4129,0.133333,3.412,0.190476,7.3242,0.111111,7.3242,C2,0.5,C4,C4,C4
llama31_8b,narrativeqa,4,f1,46708,153856,8.9604,0.3571,0.1214,0.9999,0.0376,0.0,1.0,0.0,40.2012,0.0,5.3975,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,5,f1,37057,150571,9.2839,0.3741,0.1193,0.9999,0.0201,0.111111,1.0,0.105263,40.2012,0.105263,5.4095,0.105263,3.412,0.111111,7.3242,0.111111,7.3242,C0,0.111111,C4,C4,C1
llama31_8b,narrativeqa,6,f1,8050,34101,9.3906,0.4275,0.3063,0.9997,0.0259,0.0,1.0,0.0,40.2012,0.0,5.392,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
